Name,State,District,Party,Years_Served,FIPS_Code,CD
"Torres Small, Xochitl",New Mexico,02,Democratic,House: 2019-2021,35,3502
"Torres, Norma J.",California,35,Democratic,House: 2015-Present,06,0635
"Trahan, Lori",Massachusetts,03,Democratic,House: 2019-Present,25,2503
"Trone, David J.",Maryland,06,Democratic,House: 2019-Present,24,2406
"Turner, Michael R.",Ohio,10,Republican,House: 2003-Present,39,3910
"Underwood, Lauren",Illinois,14,Democratic,House: 2019-Present,17,1714
"Upton, Fred",Michigan,06,Republican,House: 1987-2023,26,2606
"Van Drew, Jefferson",New Jersey,02,Republican,House: 2019-Present,34,3402
"Vargas, Juan",California,52,Democratic,House: 2013-Present,06,0652
"Veasey, Marc A.",Texas,33,Democratic,House: 2013-Present,48,4833
"Vela, Filemon",Texas,34,Democratic,House: 2013-2022,48,4834
"Velazquez, Nydia M.",New York,07,Democratic,House: 1993-Present,36,3607
"Visclosky, Peter J.",Indiana,01,Democratic,House: 1985-2021,18,1801
"Wagner, Ann",Missouri,02,Republican,House: 2013-Present,29,2902
"Walberg, Tim",Michigan,05,Republican,"House: 2007-2009, 2011-Present",26,2605
"Walden, Greg",Oregon,02,Republican,House: 1999-2021,41,4102
"Walker, Mark",North Carolina,06,Republican,House: 2015-2021,37,3706
"Walorski, Jackie",Indiana,02,Republican,House: 2013-2022,18,1802
"Waltz, Michael",Florida,06,Republican,House: 2019-Present,12,1206
"Wasserman Schultz, Debbie",Florida,25,Democratic,House: 2005-Present,12,1225
"Waters, Maxine",California,43,Democratic,House: 1991-Present,06,0643
"Watkins, Steve",Kansas,02,Republican,House: 2019-2021,20,2002
"Watson Coleman, Bonnie",New Jersey,12,Democratic,House: 2015-Present,34,3412
"Weber, Randy K., Sr.",Texas,14,Republican,House: 2013-Present,48,4814
"Webster, Daniel",Florida,11,Republican,House: 2011-Present,12,1211
"Wenstrup, Brad R.",Ohio,02,Republican,House: 2013-Present,39,3902
"Westerman, Bruce",Arkansas,04,Republican,House: 2015-Present,05,0504
"Wexton, Jennifer",Virginia,10,Democratic,House: 2019-Present,51,5110
"Wild, Susan",Pennsylvania,07,Democratic,House: 2018-Present,42,4207
"Williams, Roger",Texas,25,Republican,House: 2013-Present,48,4825
"Wilson, Frederica S.",Florida,24,Democratic,House: 2011-Present,12,1224
"Wilson, Joe",South Carolina,02,Republican,House: 2001-Present,45,4502
"Wittman, Robert J.",Virginia,01,Republican,House: 2007-Present,51,5101
"Womack, Steve",Arkansas,03,Republican,House: 2011-Present,05,0503
"Woodall, Rob",Georgia,07,Republican,House: 2011-2021,13,1307
"Wright, Ron",Texas,06,Republican,House: 2019-2021,48,4806
"Yarmuth, John A.",Kentucky,03,Democratic,House: 2007-2023,21,2103
"Yoho, Ted S.",Florida,03,Republican,House: 2013-2021,12,1203
"Young, Don",Alaska,00,Republican,House: 1973-2022,02,0200
"Zeldin, Lee M.",New York,01,Republican,House: 2015-2023,36,3601
